肖申克的救赎,9.6,1190128人评价,弗兰克·德拉邦特,美国
霸王别姬,9.6,873574人评价,陈凯歌,中国大陆 香港
这个杀手不太冷,9.4,1096207人评价,吕克·贝松,法国
阿甘正传,9.4,938189人评价,Robert,美国
美丽人生,9.5,548161人评价,罗伯托·贝尼尼,意大利
泰坦尼克号,9.3,874256人评价,詹姆斯·卡梅隆,美国
千与千寻,9.3,867821人评价,宫崎骏,日本
辛德勒的名单,9.5,493120人评价,史蒂文·斯皮尔伯格,美国
盗梦空间,9.3,957124人评价,克里斯托弗·诺兰,美国 英国
机器人总动员,9.3,634200人评价,安德鲁·斯坦顿,美国
忠犬八公的故事,9.3,617599人评价,莱塞·霍尔斯道姆,美国 英国
三傻大闹宝莱坞,9.2,856385人评价,拉库马·希拉尼,印度
海上钢琴师,9.2,715699人评价,朱塞佩·托纳多雷,意大利
放牛班的春天,9.2,587978人评价,克里斯托夫·巴拉蒂,法国 瑞士 德国
大话西游之大圣娶亲,9.2,648088人评价,刘镇伟,香港 中国大陆
楚门的世界,9.2,628333人评价,彼得·威尔,美国
教父,9.2,434209人评价,弗朗西斯·福特·科波拉,美国
龙猫,9.1,531664人评价,宫崎骏,日本
星际穿越,9.2,644712人评价,克里斯托弗·诺兰,美国 英国 加拿大 冰岛
熔炉,9.2,363508人评价,黄东赫,韩国
无间道,9.1,532121人评价,刘伟强,香港
当幸福来敲门,9.0,691149人评价,加布里尔·穆奇诺,美国
触不可及,9.2,461774人评价,奥利维·那卡什,法国
怦然心动,9.0,742724人评价,罗伯·莱纳,美国
乱世佳人,9.2,330565人评价,维克多·弗莱明,美国
疯狂动物城,9.1,702586人评价,拜伦·霍华德,美国
蝙蝠侠：黑暗骑士,9.1,426870人评价,克里斯托弗·诺兰,美国 英国
天堂电影院,9.1,363093人评价,朱塞佩·托纳多雷,意大利 法国
活着,9.1,353383人评价,张艺谋,中国大陆 香港
少年派的奇幻漂流,9.0,711653人评价,李安,美国 台湾 英国 加拿大
十二怒汉,9.4,212163人评价,Sidney,美国
鬼子来了,9.2,294255人评价,姜文,中国大陆
指环王3：王者无敌,9.1,352413人评价,彼得·杰克逊,美国 新西兰
搏击俱乐部,9.0,467735人评价,大卫·芬奇,美国 德国
控方证人,9.6,142321人评价,比利·怀尔德,美国
天空之城,9.0,409768人评价,宫崎骏,日本
飞屋环游记,8.9,625527人评价,彼特·道格特,美国
大话西游之月光宝盒,8.9,521120人评价,刘镇伟,香港 中国大陆
罗马假日,9.0,475232人评价,威廉·惠勒,美国
窃听风暴,9.1,280998人评价,弗洛里安·亨克尔·冯·多纳斯马,德国
摔跤吧！爸爸,9.1,629455人评价,涅提·蒂瓦里,印度
两杆大烟枪,9.1,321016人评价,Guy,英国
闻香识女人,9.0,402768人评价,马丁·布莱斯,美国
辩护人,9.2,277946人评价,杨宇硕,韩国
哈尔的移动城堡,8.9,443289人评价,宫崎骏,日本
飞越疯人院,9.0,325031人评价,米洛斯·福尔曼,美国
死亡诗社,9.0,345727人评价,彼得·威尔,美国
V字仇杀队,8.8,522540人评价,詹姆斯·麦克特格,美国 英国 德国
海豚湾,9.3,213796人评价,Louie,美国
教父2,9.1,234759人评价,弗朗西斯·福特·科波拉,美国
指环王2：双塔奇兵,9.0,330565人评价,彼得·杰克逊,美国 新西兰
指环王1：魔戒再现,8.9,370202人评价,彼得·杰克逊,新西兰 美国
美丽心灵,8.9,369093人评价,朗·霍华德,美国
饮食男女,9.1,253824人评价,李安,台湾 美国
情书,8.8,453077人评价,岩井俊二,日本
素媛,9.1,238520人评价,李濬益,韩国
狮子王,8.9,347079人评价,Roger,美国
钢琴家,9.1,243693人评价,罗曼·波兰斯基,法国 德国 英国 波兰
美国往事,9.1,209940人评价,赛尔乔·莱翁内,意大利 美国
小鞋子,9.2,175581人评价,马基德·马基迪,伊朗
七宗罪,8.8,509314人评价,大卫·芬奇,美国
被嫌弃的松子的一生,8.9,365066人评价,中岛哲也,日本
致命魔术,8.8,415637人评价,克里斯托弗·诺兰,美国 英国
本杰明·巴顿奇事,8.8,473058人评价,大卫·芬奇,美国
天使爱美丽,8.7,567509人评价,让-皮埃尔·热内,法国 德国
西西里的美丽传说,8.8,439011人评价,朱塞佩·托纳多雷,意大利 美国
末代皇帝,9.0,234720人评价,贝纳尔多·贝托鲁奇,英国 意大利 中国大陆 法国 美国
黑客帝国,8.9,347727人评价,安迪·沃卓斯基,美国 澳大利亚
让子弹飞,8.7,768506人评价,姜文,中国大陆 香港
拯救大兵瑞恩,8.9,296724人评价,史蒂文·斯皮尔伯格,美国
看不见的客人,8.7,463735人评价,奥里奥尔·保罗,西班牙
音乐之声,8.9,277836人评价,Robert,美国
低俗小说,8.8,406563人评价,昆汀·塔伦蒂诺,美国
勇敢的心,8.8,340636人评价,梅尔·吉布森,美国
剪刀手爱德华,8.7,574347人评价,Tim,美国
大闹天宫,9.3,133831人评价,万籁鸣,中国大陆
沉默的羔羊,8.8,416193人评价,乔纳森·戴米,美国
蝴蝶效应,8.7,457046人评价,埃里克·布雷斯,美国 加拿大
春光乍泄,8.8,299679人评价,王家卫,香港 日本 韩国
入殓师,8.8,359260人评价,泷田洋二郎,日本
哈利·波特与魔法石,8.8,338558人评价,Chris,美国 英国
心灵捕手,8.8,330956人评价,格斯·范·桑特,美国
玛丽和马克思,8.9,260961人评价,亚当·艾略特,澳大利亚
猫鼠游戏,8.8,297133人评价,史蒂文·斯皮尔伯格,美国 加拿大
布达佩斯大饭店,8.8,396546人评价,韦斯·安德森,美国 德国 英国
禁闭岛,8.7,437415人评价,Martin,美国
阳光灿烂的日子,8.8,325056人评价,姜文,中国大陆 香港
第六感,8.8,278251人评价,M·奈特·沙马兰,美国
幽灵公主,8.8,277900人评价,宫崎骏,日本
重庆森林,8.7,396035人评价,王家卫,香港
狩猎,9.1,163595人评价,托马斯·温特伯格,丹麦 瑞典
致命ID,8.7,382332人评价,James,美国
断背山,8.7,380168人评价,李安,美国 加拿大
穿条纹睡衣的男孩,8.9,191325人评价,马克·赫门,英国 美国
加勒比海盗,8.6,419226人评价,戈尔·维宾斯基,美国
大鱼,8.7,297709人评价,蒂姆·波顿,美国
阿凡达,8.6,631716人评价,詹姆斯·卡梅隆,美国 英国
告白,8.7,402848人评价,中岛哲也,日本
摩登时代,9.2,113204人评价,查理·卓别林,美国
一一,9.0,181786人评价,杨德昌,台湾 日本
甜蜜蜜,8.8,266987人评价,陈可辛,香港
射雕英雄传之东成西就,8.7,323534人评价,刘镇伟,香港
阳光姐妹淘,8.8,319002人评价,姜炯哲,韩国
消失的爱人,8.7,430748人评价,大卫·芬奇,美国
爱在黎明破晓前,8.7,265748人评价,理查德·林克莱特,美国 奥地利 瑞士
上帝之城,8.9,177725人评价,Kátia,巴西 法国
侧耳倾听,8.8,205695人评价,近藤喜文,日本
小森林 夏秋篇,8.9,172522人评价,森淳一,日本
爱在日落黄昏时,8.8,234971人评价,理查德·林克莱特,美国
倩女幽魂,8.6,315999人评价,程小东,香港
超脱,8.8,211431人评价,托尼·凯耶,美国
喜剧之王,8.6,387643人评价,周星驰,香港
风之谷,8.8,205949人评价,宫崎骏,日本
恐怖直播,8.7,278323人评价,金秉祐,韩国
红辣椒,8.9,165347人评价,今敏,日本
菊次郎的夏天,8.8,226071人评价,北野武,日本
驯龙高手,8.7,341848人评价,迪恩·德布洛斯,美国
幸福终点站,8.7,262819人评价,史蒂文·斯皮尔伯格,美国
神偷奶爸,8.5,459251人评价,皮艾尔·柯芬,美国 法国
借东西的小人阿莉埃蒂,8.7,254149人评价,米林宏昌,日本
岁月神偷,8.6,347589人评价,罗启锐,香港 中国大陆
杀人回忆,8.7,245252人评价,奉俊昊,韩国
七武士,9.2,91817人评价,黑泽明,日本
萤火虫之墓,8.7,234535人评价,高畑勋,日本
怪兽电力公司,8.6,292577人评价,彼特·道格特,美国
谍影重重3,8.7,212399人评价,保罗·格林格拉斯,美国 德国
请以你的名字呼唤我,8.8,231206人评价,卢卡·圭达尼诺,意大利 法国 巴西 美国
小森林 冬春篇,9.0,149321人评价,森淳一,日本
喜宴,8.8,164307人评价,李安,台湾 美国
东邪西毒,8.6,298710人评价,王家卫,香港 台湾
电锯惊魂,8.7,230054人评价,詹姆斯·温,美国
贫民窟的百万富翁,8.5,441161人评价,丹尼·鲍尔,英国 美国
哈利·波特与死亡圣器(下),8.7,325327人评价,大卫·叶茨,美国 英国
记忆碎片,8.6,322293人评价,克里斯托弗·诺兰,美国
真爱至上,8.5,356923人评价,理查德·柯蒂斯,英国 美国 法国
疯狂原始人,8.7,429877人评价,科克·德·米科,美国
黑天鹅,8.5,477595人评价,达伦·阿罗诺夫斯基,美国
萤火之森,8.8,197762人评价,大森贵弘,日本
7号房的礼物,8.7,214617人评价,李焕庆,韩国
英雄本色,8.6,211543人评价,吴宇森,香港
雨人,8.6,234016人评价,巴瑞·莱文森,美国
