name,goal,ass,mins,maches,left,right
Harry KANE,6,0,573,6,4,1
Antoine GRIEZMANN,4,2,570,7,0,0
Romelu LUKAKU,4,1,476,6,1,1
Denis CHERYSHEV,4,0,304,5,0,0
CRISTIANO RONALDO,4,0,360,4,2,1
Kylian MBAPPE,4,0,534,7,3,0
Artem DZYUBA,3,2,333,5,2,1
Eden HAZARD,3,2,518,6,2,0
Mario MANDZUKIC,3,1,608,6,2,0
Ivan PERISIC,3,1,632,7,0,0
Yerry MINA,3,0,300,3,0,3
Diego COSTA,3,0,320,4,3,0
Edinson CAVANI,3,0,343,4,1,1
Wahbi KHAZRI,2,2,264,3,2,0
PHILIPPE COUTINHO,2,2,436,5,2,0
Takashi INUI,2,1,292,4,2,0
Luis SUAREZ,2,1,450,5,1,0
NEYMAR,2,1,450,5,1,0
Luka MODRIC,2,1,694,7,2,0
Sergio AGUERO,2,0,178,4,0,1
MOHAMED SALAH,2,0,180,2,0,0
Ahmed MUSA,2,0,207,3,2,0
Mile JEDINAK,2,0,270,3,2,0
SON Heungmin,2,0,270,3,0,0
Andreas GRANQVIST,2,0,450,5,2,0
John STONES,2,0,645,7,0,2
Juan QUINTERO,1,2,310,4,0,0
Lionel MESSI,1,2,360,4,1,0
Aleksandr GOLOVIN,1,2,402,4,1,0
Thomas MEUNIER,1,2,450,5,1,0
Kevin DE BRUYNE,1,2,540,6,1,0
Keisuke HONDA,1,1,47,3,0,0
Milan BADELJ,1,1,103,3,1,0
Paolo GUERRERO,1,1,208,3,0,0
Marco REUS,1,1,210,3,0,0
Marcos ROJO,1,1,225,3,1,0
Shinji KAGAWA,1,1,232,3,1,0
Mbaye NIANG,1,1,247,3,1,0
Gabriel MERCADO,1,1,270,3,0,0
Victor MOSES,1,1,270,3,1,0
Dries MERTENS,1,1,298,6,1,0
Hirving  LOZANO,1,1,317,4,1,0
Nacer CHADLI,1,1,327,6,0,0
Javier HERNANDEZ,1,1,330,4,1,0
Juan CUADRADO,1,1,331,4,1,0
Xherdan SHAQIRI,1,1,351,4,0,0
Christian ERIKSEN,1,1,390,4,0,0
Ola TOIVONEN,1,1,400,5,1,0
MARIO FERNANDES,1,1,472,5,0,1
Jesse  LINGARD,1,1,527,6,1,0
Kieran TRIPPIER,1,1,580,6,1,0
Domagoj VIDA,1,1,630,6,0,1
Harry MAGUIRE,1,1,645,7,0,1
Youssef EN NESYRI,1,0,18,1,0,1
Felipe BALOY,1,0,21,1,1,0
RENATO AUGUSTO,1,0,50,3,0,1
Iago ASPAS,1,0,69,3,0,0
ROBERTO FIRMINO,1,0,82,4,1,0
Adnan JANUZAJ,1,0,86,1,0,0
Kendall WASTON,1,0,90,1,0,1
Josip DRMIC,1,0,112,3,1,0
Michy BATSHUAYI,1,0,113,3,0,0
Dylan BRONN,1,0,114,2,0,1
RICARDO QUARESMA,1,0,116,3,1,0
Khalid BOUTAIB,1,0,141,2,0,0
NACHO,1,0,160,2,1,0
Karim ANSARIFARD,1,0,178,3,1,0
Ferjani SASSI,1,0,194,3,1,0
Moussa WAGUE,1,0,196,3,1,0
Mathias  JORGENSEN,1,0,219,3,0,0
Jan BEDNAREK,1,0,225,3,1,0
Angel DI MARIA,1,0,237,3,0,0
Genki HARAGUCHI,1,0,246,3,1,0
Steven ZUBER,1,0,252,3,0,1
Andre CARRILLO,1,0,259,3,1,0
Alfred FINNBOGASON,1,0,264,3,1,0
Iury GAZINSKY,1,0,266,4,0,1
Aleksandar MITROVIC,1,0,268,3,0,1
Yussuf Yurary POULSEN,1,0,269,3,0,0
Aleksandar KOLAROV,1,0,270,3,0,0
Fakhreddine BEN YOUSSEF,1,0,270,3,1,0
Grzegorz KRYCHOWIAK,1,0,270,3,0,1
Gylfi SIGURDSSON,1,0,270,3,1,0
KIM Younggwon,1,0,270,3,0,0
Sadio MANE,1,0,270,3,1,0
SALEM ALDAWSARI,1,0,270,3,1,0
SALMAN ALFARAJ,1,0,270,3,0,0
Toni KROOS,1,0,270,3,1,0
Yuya OSAKO,1,0,308,4,0,1
Carlos VELA,1,0,315,4,0,0
Marouane FELLAINI,1,0,316,5,0,1
Blerim DZEMAILI,1,0,326,4,1,0
Andrej KRAMARIC,1,0,333,7,0,1
PAULINHO,1,0,354,5,1,0
Granit XHAKA,1,0,360,4,0,0
Jose GIMENEZ,1,0,360,4,0,1
PEPE,1,0,360,4,0,1
Dele ALLI,1,0,364,5,0,1
Radamel FALCAO,1,0,377,4,1,0
ISCO,1,0,390,4,1,0
Emil FORSBERG,1,0,417,5,1,0
Ludwig AUGUSTINSSON,1,0,450,5,1,0
THIAGO SILVA,1,0,450,5,0,1
Paul POGBA,1,0,539,6,0,0
Benjamin PAVARD,1,0,540,6,1,0
Jan VERTONGHEN,1,0,540,6,0,1
Samuel UMTITI,1,0,540,6,0,1
Ante REBIC,1,0,547,6,1,0
Raphael VARANE,1,0,630,7,0,1
Ivan RAKITIC,1,0,639,7,1,0
