name,goal,ass,mins,maches,left,right
James RODRIGUEZ,6,2,399,5,4,1
Thomas MUELLER,5,3,682,7,1,4
Neymar,4,1,457,5,1,3
Lionel MESSI,4,1,693,7,4,0
Robin VAN PERSIE,4,0,548,6,3,0
Karim Benzema,3,2,450,5,0,3
Andre SCHUERRLE,3,1,244,6,2,1
Arjen ROBBEN,3,1,690,7,3,0
Enner Valencia,3,0,270,3,1,0
Xherdan SHAQIRI,3,0,387,4,3,0
Toni KROOS,2,4,690,7,1,1
Abdelmoumene DJABOU,2,1,170,3,2,0
Memphis Depay,2,1,173,4,0,2
Ivan PeriÅ¡ic,2,1,258,3,2,0
Gervinho,2,1,263,3,0,1
Asamoah Gyan,2,1,270,3,0,1
Islam SLIMANI,2,1,324,4,1,0
Alexis SANCHEZ,2,1,390,4,0,2
Oscar,2,1,640,7,0,2
DAVID LUIZ,2,1,660,7,1,1
Tim CAHILL,2,0,159,2,1,0
Wilfried BONY,2,0,167,3,0,1
Luis SUAREZ,2,0,178,2,0,1
Mario MANDZUKIC,2,0,180,2,0,1
Jackson MARTINEZ,2,0,194,3,2,0
Mario GOETZE,2,0,258,6,2,0
AndrÃ© Ayew,2,0,261,3,1,0
Miroslav KLOSE,2,0,280,5,0,2
Ahmed MUSA,2,0,335,4,0,2
Clint Dempsey,2,0,387,4,1,0
Bryan RUIZ,2,0,494,5,1,0
Mats HUMMELS,2,0,509,6,0,0
Juan CUADRADO,1,4,387,5,0,1
Eduardo VARGAS,1,2,311,4,0,1
Sofiane FEGHOULI,1,2,390,4,0,1
Kevin DE BRUYNE,1,2,390,4,0,1
Daley Blind,1,2,670,7,0,1
Klaas Jan HUNTELAAR,1,1,52,3,0,1
LEE Keunho,1,1,104,3,0,1
Olivier Giroud,1,1,165,5,0,0
Yacine BRAHIMI,1,1,190,3,0,1
Wayne Rooney,1,1,194,3,1,0
Cristiano Ronaldo,1,1,270,3,1,0
Keisuke HONDA,1,1,270,3,1,0
Miralem PJANIC,1,1,270,3,0,1
Oribe PERALTA,1,1,302,4,1,0
Teofilo GUTIERREZ,1,1,304,4,1,0
Mathieu Valbuena,1,1,335,4,0,1
Paul Pogba,1,1,354,5,0,0
Edinson CAVANI,1,1,360,4,0,1
Rafael MARQUEZ,1,1,360,4,0,0
Charles ARANGUIZ,1,1,364,4,0,1
Sami KHEDIRA,1,1,376,5,0,1
Georgios SAMARAS,1,1,390,4,0,1
Joel CAMPBELL,1,1,415,5,1,0
Thiago Silva,1,1,570,6,1,0
Gonzalo HIGUAIN,1,1,571,7,0,1
Wesley SNEIJDER,1,1,585,6,0,1
Mesut OEZIL,1,1,655,7,1,0
Julian GREEN,1,0,13,1,0,1
Leroy FER,1,0,15,1,0,0
Juan Mata,1,0,34,1,1,0
John Brooks,1,0,44,1,0,0
VARELA,1,0,50,2,0,0
Blerim DZEMAILI,1,0,54,3,0,1
David Villa,1,0,56,1,0,0
Jean Beausejour,1,0,66,2,1,0
Javier HERNANDEZ,1,0,75,4,0,0
Avdija VRSAJEVIC,1,0,90,1,0,1
Juan Quintero,1,0,93,3,0,0
Jorge VALDIVIA,1,0,93,3,0,1
Aleksandr Kerzhakov,1,0,101,3,0,1
Marcos URENA,1,0,102,4,0,1
Andreas SAMARIS,1,0,136,2,0,1
Haris SEFEROVIC,1,0,139,4,1,0
Vedad IBISEVIC,1,0,144,3,1,0
Fernando Torres,1,0,144,3,0,1
Romelu LUKAKU,1,0,175,4,1,0
Joel Matip,1,0,180,2,0,1
Xabi Alonso,1,0,191,3,0,1
Mario BALOTELLI,1,0,209,3,0,0
Moussa Sissoko,1,0,214,4,0,1
Claudio MARCHISIO,1,0,218,3,0,1
Carlo COSTLY,1,0,220,3,1,0
Ivica Olic,1,0,228,3,1,0
Divock ORIGI,1,0,245,5,0,1
SON Heungmin,1,0,247,3,1,0
Shinji OKAZAKI,1,0,249,3,0,0
Daniel Sturridge,1,0,260,3,0,1
Edin DZEKO,1,0,264,3,1,0
Dries MERTENS,1,0,269,5,0,1
Aleksandr Kokorin,1,0,270,3,0,0
Reza Ghoochannejhad,1,0,270,3,0,1
KOO Jacheol,1,0,270,3,1,0
Mile JEDINAK,1,0,270,3,0,1
Nani,1,0,270,3,0,1
Peter ODEMWINGIE,1,0,281,4,0,1
FERNANDINHO,1,0,296,5,0,1
Giovani DOS SANTOS,1,0,297,4,1,0
Granit XHAKA,1,0,323,4,1,0
Andres GUARDADO,1,0,333,4,1,0
Ãscar Duarte,1,0,336,4,0,0
Admir MEHMEDI,1,0,337,4,0,0
Diego GODIN,1,0,360,4,0,0
Rafik HALLICHE,1,0,367,4,0,0
Sokratis PAPASTATHOPOULOS,1,0,390,4,0,1
Jermaine JONES,1,0,390,4,0,1
Marouane FELLAINI,1,0,415,5,0,0
Pablo ARMERO,1,0,416,5,0,1
Angel DI MARIA,1,0,423,5,1,0
Blaise Matuidi,1,0,427,5,1,0
Jan VERTONGHEN,1,0,449,5,1,0
FRED,1,0,471,6,0,0
Georginio Wijnaldum,1,0,550,7,0,1
Marcos ROJO,1,0,615,6,0,1
Stefan DE VRIJ,1,0,677,7,1,0
