肖申克的救赎,9.6,1187862人评价,弗兰克·德拉邦特,美国
霸王别姬,9.6,872212人评价,陈凯歌,中国大陆 香港
这个杀手不太冷,9.4,1094276人评价,吕克·贝松,法国
阿甘正传,9.4,936521人评价,Robert,美国
美丽人生,9.5,547075人评价,罗伯托·贝尼尼,意大利
泰坦尼克号,9.3,872620人评价,詹姆斯·卡梅隆,美国
千与千寻,9.3,866249人评价,宫崎骏,日本
辛德勒的名单,9.5,492227人评价,史蒂文·斯皮尔伯格,美国
盗梦空间,9.3,955406人评价,克里斯托弗·诺兰,美国 英国
机器人总动员,9.3,633237人评价,安德鲁·斯坦顿,美国
忠犬八公的故事,9.3,616337人评价,莱塞·霍尔斯道姆,美国 英国
三傻大闹宝莱坞,9.2,855096人评价,拉库马·希拉尼,印度
海上钢琴师,9.2,714920人评价,朱塞佩·托纳多雷,意大利
放牛班的春天,9.2,587177人评价,克里斯托夫·巴拉蒂,法国 瑞士 德国
大话西游之大圣娶亲,9.2,646845人评价,刘镇伟,香港 中国大陆
楚门的世界,9.2,627015人评价,彼得·威尔,美国
教父,9.2,433494人评价,弗朗西斯·福特·科波拉,美国
龙猫,9.1,530712人评价,宫崎骏,日本
星际穿越,9.2,643664人评价,克里斯托弗·诺兰,美国 英国 加拿大 冰岛
熔炉,9.2,362603人评价,黄东赫,韩国
无间道,9.1,530961人评价,刘伟强,香港
触不可及,9.2,461154人评价,奥利维·那卡什,法国
当幸福来敲门,9.0,690006人评价,加布里尔·穆奇诺,美国
乱世佳人,9.2,330182人评价,维克多·弗莱明,美国
怦然心动,9.0,741586人评价,罗伯·莱纳,美国
